Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
2992;G¢mez-Guzm n, J. M., Holm, E., Enamorado-B ez, S. M., Abril, J. A., Pinto-G¢mez, A. R., L¢pez-Guti‚rrez, J. M., & Garc¡a-Le¢n, M. (2013). Pre- and post-Chernobyl accident levels of 129I and 137Cs in the Southern Baltic Sea by brown seaweed Fucus vesiculosus. Journal of Environmental Radioactivity, 115, 134?142. https://doi.org/10.1016/j.jenvrad.2012.08.007;Reviewer 5; I-129/I-127 ratio in fucis tested to assess effects of Chernobyl accident in Baltic Sea;Include;Include;Fucus as bioindicator;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Pre- and post-Chernobyl accident levels of 129I and 137Cs in the Southern Baltic Sea by brown seaweed Fucus vesiculosus;Field;Observational;Baltic Sea wide;;;from Kattegat to Aland Sea along the Swedish coast and Gotland;Present;1982;1986;5;Toxins;Toxins;data were evaluated in terms of 129I concentrations, 129I/127I and 129I/137Cs ratios;Fucus used as bioindicator;NA;Cultural;Education and scientific information;Bioindicator;High levels of 129I and 129I/127I in the Kattegat gradually decrease to the Baltic Sea indicating that the most important contribution to the 129I inventory in the Baltic Sea area comes from Sellafield and La Hague reprocessing plants. With respect to Chernobyl accident, 129I concentrations in samples collected in 1986 were not much higher than those expected in less contaminated samples from 1982. This supports the view that the contribution of the Chernobyl accident to 129I in the Baltic region was not significant.;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;33;33 sites in the Baltc Sea, results descirptive and as ratios/mean/sd
3052;Krause-Jensen, D., Carstensen, J., Dahl, K., B„ck, S., & Neuvonen, S. (2009). Testing relationships between macroalgal cover and Secchi depth in the Baltic Sea. Ecological Indicators, 9(6), 1284?1287. https://doi.org/10.1016/j.ecolind.2009.02.010;Reviewer 5;relationship of macroalgal cover and water quality;Include;Include;Macroalgae as indicator for water quality;Macroalgae;Macroalgae;not specified;not specified;Testing relationships between macroalgal cover and Secchi depth in the Baltic Sea;Field;Observational;"Aland Sea; Gulf of Finland";;;"Aland Sea; Gulf of Finland";Present;1993;2004;12;Light;Light;shading effects of eutrophication as secchi depth;results suggest that light limitation, and thus shading effects of eutrophication may cause similar reductions of macroalgal cover across ecosystems.;negative;Cultural;Education and scientific information;Bioindicator;relationships between macroalgal cover and water quality, recently developed for Danish coastal waters, are more universal and also applies at the other extreme of the Baltic Sea in Finnish coastal waters;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Direct;2;Direct;;;english;5;R-squared;>0.71;6;6 sites in the years 1993, 1998, 2001?2004, however not every site was covered every year.
3067;Smolarz, K., & Bradtke, K. (2011). Bioindicative potential of shell abnormalities occurring in the clam Macoma balthica (L.) from the Baltic Sea. Marine Pollution Bulletin, 62(7), 1421?1426. https://doi.org/10.1016/j.marpolbul.2011.04.031;Reviewer 5;use of described SDs as initial and cost effective indicators of environmental health;Include;Include;Macoma as bioindicator;Mussel beds;Mussel beds;Macoma;Macoma balthica;Bioindicative potential of shell abnormalities occurring in the clam Macoma balthica;Field;Observational;Western Gotland Basin;58,821927;17,526798;mean of 5 sites;Present;2007;2007;1;Toxins;Toxins;bioindicative potential of observed exoskeleton? anomalies was assessed using a suite of physiological and morphological biomarkers as as initial and cost effective indicators of environmental health.;Spatial differences in the occurrence of deformed clams are reported, with more than 50% of deformed clams inhabiting polluted locations and 8% the reference station.;NA;Cultural;Education and scientific information;Bioindicator;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Direct;2;Direct;;;english;5;P-Value;<0.05;5;5 sites, 40 mussels per site
3070;N„f, C., Broman, D., & Axelman, J. (1994). Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast. Science of The Total Environment, 156(2), 109?118. https://doi.org/10.1016/0048-9697(94)90347-6;Reviewer 5;toxins mussels;Include;Include;Mussels as bioindicator;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast;Field;Observational;Bothnian Sea;62,346074;17,421871;mean coordinates of 11 close by sites;Present;1988;1989;2;Toxins;Toxins;The load of polycyclic aromatic hydrocarbons was investigated in a water area outside an aluminium smelter on the Swedish Baltic coast. The load was evaluated in terms of PAH content in settling particulate matter, bottom surface sediments and in bivalves;mussels indicate that there are significantly higher concentrations in the water area outside the smelter, which makes them both good indicator organisms for PAH contamination.;NA;Cultural;Education and scientific information;Bioindicator;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Direct;2;Direct;;;english;3;OTHER (make notes);;?;one site with high contamination and one reference site were sampled and concentrations of contaminats was given (descriptive)
3070;N„f, C., Broman, D., & Axelman, J. (1994). Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast. Science of The Total Environment, 156(2), 109?118. https://doi.org/10.1016/0048-9697(94)90347-6;Reviewer 5;toxins mussels;Include;Include;Mussels as bioindicator;Mussel beds;Mussel beds;Macoma;Macoma balthica;Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast;Field;Observational;Bothnian Sea;62,346074;17,421871;mean coordinates of 11 close by sites;Present;1988;1989;2;Toxins;Toxins;The load of polycyclic aromatic hydrocarbons was investigated in a water area outside an aluminium smelter on the Swedish Baltic coast. The load was evaluated in terms of PAH content in settling particulate matter, bottom surface sediments and in bivalves;mussels indicate that there are significantly higher concentrations in the water area outside the smelter, which makes them both good indicator organisms for PAH contamination.;NA;Cultural;Education and scientific information;Bioindicator;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Direct;2;Direct;;;english;3;OTHER (make notes);;?;one site with high contamination and one reference site were sampled and concentrations of contaminats was given (descriptive)
388;Chojnacka, K. (2008). Using biosorption to enrich the biomass of seaweeds from the Baltic Sea with microelements to produce mineral feed supplement for livestock. Biochemical Engineering Journal, 39(2), 246?257. https://doi.org/10.1016/j.bej.2007.09.008;Reviewer 1 ;about use of algae as animal feed;Include;Include;;Macroalgae;Macroalgae;Enteromorpha;Enteromorpha prolifera;use of algae as feedstock;Lab;Experiment;Gdansk Basin;54,442902;18,577125;;Present;2008;2008;1;None;None;;;;Provisioning;Feed production;Feed production;use of algae biomass as feedstock;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;2;None;;unknown;
388;Chojnacka, K. (2008). Using biosorption to enrich the biomass of seaweeds from the Baltic Sea with microelements to produce mineral feed supplement for livestock. Biochemical Engineering Journal, 39(2), 246?257. https://doi.org/10.1016/j.bej.2007.09.008;Reviewer 1 ;about use of algae as animal feed;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;use of algae as feedstock;Lab;Experiment;Gdansk Basin;54,442902;18,577125;;Present;2008;2008;1;None;None;;;;Provisioning;Feed production;Feed production;use of algae biomass as feedstock;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;2;None;;unknown;
777;Michalak, I., Chojnacka, K., & Korniewicz, D. (2015). New feed supplement from macroalgae as the dietary source of microelements for pigs. Open Chemistry, 13(1). https://doi.org/10.1515/chem-2015-0149;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Enteromorpha;Enteromorpha sp;Feed for pigs;Lab;Experiment;Bornholm Basin;;;Niechorze, Poland;Present;2015;2015;1;None;None;;;;Provisioning;Feed production;Feed production;Feed for pigs;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;3;P-Value;>0.05;NA;
909;Carlberg, H., Lundh, T., Cheng, K., Pickova, J., Langton, M., Guti‚rrez, J. L. V., Kiessling, A., & Br„nn„s, E. (2018). In search for protein sources: Evaluating an alternative to the traditional fish feed for Arctic charr ( Salvelinus alpinus L.). Aquaculture, 486, 253?260. https://doi.org/10.1016/j.aquaculture.2017.12.027;Reviewer 2;;Include;Include;;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;Museels as fish feed;Lab;Experiment;Baltic Sea wide;;;;Present;2018;2018;1;None;None;;;;Provisioning;Feed production;Feed production;Feed provision for agriculture;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;4;P-Value;<0.05;3;
909;Carlberg, H., Lundh, T., Cheng, K., Pickova, J., Langton, M., Guti‚rrez, J. L. V., Kiessling, A., & Br„nn„s, E. (2018). In search for protein sources: Evaluating an alternative to the traditional fish feed for Arctic charr ( Salvelinus alpinus L.). Aquaculture, 486, 253?260. https://doi.org/10.1016/j.aquaculture.2017.12.027;Reviewer 2;;Include;Include;;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;Museels as fish feed;Lab;Experiment;Baltic Sea wide;;;;Present;2018;2018;1;None;None;;;;Provisioning;Feed production;Feed production;Food provision for agriculture, mussels as fish feed;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;4;P-Value;<0.05;3;
1226;Carlberg, H., Cheng, K., Lundh, T., & Br„nn„s, E. (2015). Using self-selection to evaluate the acceptance of a new diet formulation by farmed fish. Applied Animal Behaviour Science, 171, 226?232. https://doi.org/10.1016/j.applanim.2015.08.016;Reviewer 2;;Include;Include;;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;Mussels as fish feed;Lab;Experiment;not specified;;;location not specified but presumably sweden;Present;2015;2015;1;None;None;;;;Provisioning;Feed production;Feed production;Feed provision for aquacultue;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;4;P-Value;<0.01;15;
1226;Carlberg, H., Cheng, K., Lundh, T., & Br„nn„s, E. (2015). Using self-selection to evaluate the acceptance of a new diet formulation by farmed fish. Applied Animal Behaviour Science, 171, 226?232. https://doi.org/10.1016/j.applanim.2015.08.016;Reviewer 2;;Include;Include;;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;Mussels as fish feed;Lab;Experiment;not specified;;;location not specified but presumably sweden;Present;2015;2015;1;None;None;;;;Provisioning;Feed production;Feed production;Food provision for aquacultue, mussels as fish feed;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;4;P-Value;<0.01;15;
80;Dmytryk, A., Michalak, I., Wilk, R., Chojnacka, K., G¢recka, H., & G¢recki, H. (2015). Innovative Seed Treatment with Algae Homogenate. Waste and Biomass Valorization, 6(4), 441?448. https://doi.org/10.1007/s12649-015-9363-5;Reviewer 1 ;its about using algae for improving crops;Include;Include;;Macroalgae;Macroalgae;Enteromorpha;Enteromorpha sp;use of dried algae to improve land crops;Lab;Experiment;Gdansk Basin;54,450492;18,571643;;Present;2013;2013;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;"crop germination; dried algae to improve land crops";Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;2;R-squared;;5 to 10;
219;Michalak, I., Tuhy, ?., & Chojnacka, K. (2015). Seaweed extract by microwave assisted extraction as plant growth biostimulant. Open Chemistry, 13(1). https://doi.org/10.1515/chem-2015-0132;Reviewer 1 ;about useful chemicals extracted from macroalgae;Include;Include;;Macroalgae;Macroalgae;Ulva;Ulva sp;extracting valuable compounds to enhance plant growth;Lab;Experiment;Gdansk Basin;54,445285;18,57815;;Present;2013;2013;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;chemicals for agriculture;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;3;P-Value;<0.05;20;
219;Michalak, I., Tuhy, ?., & Chojnacka, K. (2015). Seaweed extract by microwave assisted extraction as plant growth biostimulant. Open Chemistry, 13(1). https://doi.org/10.1515/chem-2015-0132;Reviewer 1 ;about useful chemicals extracted from macroalgae;Include;Include;;Macroalgae;Macroalgae;Polysiphonia;Polysiphonia sp;extracting valuable compounds to enhance plant growth;Lab;Experiment;Gdansk Basin;54,445285;18,57815;;Present;2013;2013;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;chemicals for agriculture;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;3;P-Value;<0.05;20;
219;Michalak, I., Tuhy, ?., & Chojnacka, K. (2015). Seaweed extract by microwave assisted extraction as plant growth biostimulant. Open Chemistry, 13(1). https://doi.org/10.1515/chem-2015-0132;Reviewer 1 ;about useful chemicals extracted from macroalgae;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora sp;extracting valuable compounds to enhance plant growth;Lab;Experiment;Gdansk Basin;54,445285;18,57815;;Present;2013;2013;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;chemicals for agriculture;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;3;P-Value;<0.05;20;
515;Michalak, I., Dmytryk, A., Schroeder, G., & Chojnacka, K. (2017). The Application of Homogenate and Filtrate from Baltic Seaweeds in Seedling Growth Tests. Applied Sciences, 7(3), 230. https://doi.org/10.3390/app7030230;Reviewer 1 ;about compounds from algae;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;algae used for biostimulant of crop germination;Lab;Experiment;Gdansk Basin;54,442802;18,576438;;Present;2013;2013;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;algae used for biostimulant of crop germination, seedling productivity variables;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;2;P-Value;<0.05;2;
574;Lindahl, O., Hart, R., Hernroth, B., Kollberg, S., Loo, L.-O., Olrog, L., Rehnstam-Holm, A.-S., Svensson, J., Svensson, S., & Syversen, U. (2005). Improving Marine Water Quality by Mussel Farming: A Profitable Solution for Swedish Society. AMBIO: A Journal of the Human Environment, 34(2), 131?138. https://doi.org/10.1579/0044-7447-34.2.131;Reviewer 1 ;about mussel farming for eutrophication control;Include;Include;;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;mussel farming for water improvements;Field;Experiment;Skagerrak;;;;Present;1994;2005;12;Nutrients;Nutrients;feasibility of mussel farming for water improvement and food;20% reduction in nitrogen from mussel farming;NA;Provisioning;Fertilizer;Fertilizer;mussels used as fertilizer in agriculture;Both;Quantitative ranking (scores);Direct Use value;Price;Nitrogen flows;net nitrogen transport;;3;Direct;4;Direct;2;Indirect;2;Indirect;;;english;2;None;;NA;
961;Michalak, I., Wilk, R., & Chojnacka, K. (2016). Bioconversion of Baltic Seaweeds into Organic Compost. Waste and Biomass Valorization, 8(6), 1885?1895. https://doi.org/10.1007/s12649-016-9738-3;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Ulva;Ulva flexuosa;Converting macroalgae to bio compost;Field;Observational;Gdansk Basin;;;;Present;2002;2002;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;Converting macroalgae to bio compost;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;3;Direct;0;Does not apply;0;Does not apply;;;english;2;OTHER (make notes);;;mean algal wight
961;Michalak, I., Wilk, R., & Chojnacka, K. (2016). Bioconversion of Baltic Seaweeds into Organic Compost. Waste and Biomass Valorization, 8(6), 1885?1895. https://doi.org/10.1007/s12649-016-9738-3;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Ulva;Ulva clathrata;Converting macroalgae to bio compost;Field;Observational;Gdansk Basin;;;;Present;2002;2002;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;Converting macroalgae to bio compost;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;3;Direct;0;Does not apply;0;Does not apply;;;english;2;OTHER (make notes);;;mean algal wight
961;Michalak, I., Wilk, R., & Chojnacka, K. (2016). Bioconversion of Baltic Seaweeds into Organic Compost. Waste and Biomass Valorization, 8(6), 1885?1895. https://doi.org/10.1007/s12649-016-9738-3;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Polysiphonia;Polysiphonia fucoides;Converting macroalgae to bio compost;Field;Observational;Gdansk Basin;;;;Present;2002;2002;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;Converting macroalgae to bio compost;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;3;Direct;0;Does not apply;0;Does not apply;;;english;2;OTHER (make notes);;;mean algal wight
961;Michalak, I., Wilk, R., & Chojnacka, K. (2016). Bioconversion of Baltic Seaweeds into Organic Compost. Waste and Biomass Valorization, 8(6), 1885?1895. https://doi.org/10.1007/s12649-016-9738-3;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;Converting macroalgae to bio compost;Field;Observational;Gdansk Basin;;;;Present;2002;2002;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;Converting macroalgae to bio compost;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;3;Direct;0;Does not apply;0;Does not apply;;;english;2;OTHER (make notes);;;mean algal wight
1639;Michalak, I., Chojnacka, K., Dmytryk, A., Wilk, R., Gramza, M., & R¢j, E. (2016). Evaluation of supercritical extracts of algae as biostimulants of plant growth in field trials. Frontiers in plant science, 7, 1591.;Reviewer 3;macroalgae as bioactive compounds, provisioning;Include;Include;bioactive compounds from macroalgae;Macroalgae;Macroalgae;not specified;not specified;to evaluate the efficacy of biostimulants;Field;Experimental & Observational;Gdansk Basin;;;near Sopot beach;Present;2014;2014;1;None;None;;;;Provisioning;Fertilizer;Fertilizer;naturally occurring bioactive compounds, can be used in sustainable agriculture;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;4;P-Value;< 0.05;4;
2646;Filipkowska, A., Lubecki, L., Szymczak-Zyla, M., Kowalewska, G., Zbikowski, R., & Szefer, P. (2008). Utilisation of macroalgae from the Sopot beach (Baltic Sea). Oceanologia, 50(2), 255-273.;Reviewer 5;utilisation of macroalgae;Include;Include;utilisiation of macroalgae accumulations on beach;Macroalgae;Macroalgae;beach cast;beach cast;Utilisation of macroalgae from the Sopot beach;Lab;Experiment;Gdansk Basin;54,445972;18,575573;Sopot beach ;Present;2004;2006;3;None;None;;;;Provisioning;Fertilizer;Fertilizer;nutrients / macroalgae can be used as fertiliser;Does not apply;Does not apply;Does not apply;Does not apply;;;;2;Direct;4;Direct;1;Direct;1;Direct;;;english;4;OTHER (make notes);;3;"mean and variance (SD overlaps with commertial fertiliser but not with ""no fertiliser"", growth rates of plants are increased with marcoalgae biofertiliser compared to no fertiliser and meet the levels of commercial fertiliser"
1514;Ressurrei‡Æo, A., Zarzycki, T., Kaiser, M., Edwards-Jones, G., Ponce Dentinho, T., Santos, R., & Gibbons, J. (2012). Towards an ecosystem approach for understanding public values concerning marine biodiversity loss. Marine Ecology Progress Series, 467, 15?28. https://doi.org/10.3354/meps09967;Reviewer 3;biodiveristy loss and human wellbeing, dont know if include later;Include;Exclude;humans willinness to pay to prevent species loss and biodiversity decrease;;;;;marginal willingness to pay (WTP) and motivations to prevent 3 levels of species loss (10, 25 and 50%) ;Computational;;Gdansk Basin;;;;Present;NA;NA;NA;Biodiversity loss;Biodiversity loss;species loss and biodiversity decrease;"Current, 10%, 25%, 50% level of loss
";negative;Provisioning;Food;Food supply;humans willingness to pay to avoid species loss;Monetary;Performance values (ordinal classification/hierarchies);Direct Use value;Price;contingent valuation method (CVM).;(public?s) visitors' and residents' willingness to pay (WTP) for three different levels of change in quality, lump sum payment to a trust;;3;Indirect;5;Direct;3;Indirect;3;Indirect;;;english;5;P-Value;< 0.05;NA;
1514;Ressurrei‡Æo, A., Zarzycki, T., Kaiser, M., Edwards-Jones, G., Ponce Dentinho, T., Santos, R., & Gibbons, J. (2012). Towards an ecosystem approach for understanding public values concerning marine biodiversity loss. Marine Ecology Progress Series, 467, 15?28. https://doi.org/10.3354/meps09967;Reviewer 3;biodiveristy loss and human wellbeing, dont know if include later;Include;Exclude;humans willinness to pay to prevent species loss and biodiversity decrease;;;;;marginal willingness to pay (WTP) and motivations to prevent 3 levels of species loss (10, 25 and 50%) ;Computational;;Gdansk Basin;;;;Present;NA;NA;NA;Biodiversity loss;Biodiversity loss;species loss and biodiversity decrease;"Current, 10%, 25%, 50% level of loss
";negative;Provisioning;Food;Food supply;humans willingness to pay to avoid species loss;Monetary;Performance values (ordinal classification/hierarchies);Bequest value (non-use);Price;contingent valuation method (CVM).;(public?s) visitors' and residents' willingness to pay (WTP) for three different levels of change in quality, lump sum payment to a trust;;3;Indirect;5;Direct;3;Indirect;3;Indirect;;;english;5;P-Value;< 0.05;NA;
1514;Ressurrei‡Æo, A., Zarzycki, T., Kaiser, M., Edwards-Jones, G., Ponce Dentinho, T., Santos, R., & Gibbons, J. (2012). Towards an ecosystem approach for understanding public values concerning marine biodiversity loss. Marine Ecology Progress Series, 467, 15?28. https://doi.org/10.3354/meps09967;Reviewer 3;biodiveristy loss and human wellbeing, dont know if include later;Include;Exclude;humans willinness to pay to prevent species loss and biodiversity decrease;;;;;marginal willingness to pay (WTP) and motivations to prevent 3 levels of species loss (10, 25 and 50%) ;Computational;;Gdansk Basin;;;;Present;NA;NA;NA;Biodiversity loss;Biodiversity loss;species loss and biodiversity decrease;"Current, 10%, 25%, 50% level of loss
";negative;Provisioning;Food;Food supply;humans willingness to pay to avoid species loss;Monetary;Performance values (ordinal classification/hierarchies);Indirect Use value;Price;contingent valuation method (CVM).;(public?s) visitors' and residents' willingness to pay (WTP) for three different levels of change in quality, lump sum payment to a trust;;3;Indirect;5;Direct;3;Indirect;3;Indirect;;;english;5;P-Value;< 0.05;NA;
1514;Ressurrei‡Æo, A., Zarzycki, T., Kaiser, M., Edwards-Jones, G., Ponce Dentinho, T., Santos, R., & Gibbons, J. (2012). Towards an ecosystem approach for understanding public values concerning marine biodiversity loss. Marine Ecology Progress Series, 467, 15?28. https://doi.org/10.3354/meps09967;Reviewer 3;biodiveristy loss and human wellbeing, dont know if include later;Include;Exclude;humans willinness to pay to prevent species loss and biodiversity decrease;;;;;marginal willingness to pay (WTP) and motivations to prevent 3 levels of species loss (10, 25 and 50%) ;Computational;;Gdansk Basin;;;;Present;NA;NA;NA;Biodiversity loss;Biodiversity loss;species loss and biodiversity decrease;"Current, 10%, 25%, 50% level of loss
";negative;Provisioning;Food;Food supply;humans willingness to pay to avoid species loss;Monetary;Performance values (ordinal classification/hierarchies);Existence value (non-use);Price;contingent valuation method (CVM).;(public?s) visitors' and residents' willingness to pay (WTP) for three different levels of change in quality, lump sum payment to a trust;;3;Indirect;5;Direct;3;Indirect;3;Indirect;;;english;5;P-Value;< 0.05;NA;
1514;Ressurrei‡Æo, A., Zarzycki, T., Kaiser, M., Edwards-Jones, G., Ponce Dentinho, T., Santos, R., & Gibbons, J. (2012). Towards an ecosystem approach for understanding public values concerning marine biodiversity loss. Marine Ecology Progress Series, 467, 15?28. https://doi.org/10.3354/meps09967;Reviewer 3;biodiveristy loss and human wellbeing, dont know if include later;Include;Exclude;humans willinness to pay to prevent species loss and biodiversity decrease;;;;;marginal willingness to pay (WTP) and motivations to prevent 3 levels of species loss (10, 25 and 50%) ;Computational;;Gdansk Basin;;;;Present;NA;NA;NA;Biodiversity loss;Biodiversity loss;species loss and biodiversity decrease;"Current, 10%, 25%, 50% level of loss
";negative;Provisioning;Food;Food supply;humans willingness to pay to avoid species loss;Monetary;Performance values (ordinal classification/hierarchies);Option value (non-use value);Price;contingent valuation method (CVM).;(public?s) visitors' and residents' willingness to pay (WTP) for three different levels of change in quality, lump sum payment to a trust;;3;Indirect;5;Direct;3;Indirect;3;Indirect;;;english;5;P-Value;< 0.05;NA;
33;Marcelina, Z., Adam, S., & Pierre, R. (2018). Spatial and temporal variability of organic matter sources and food web structure across benthic habitats in a low diversity system (southern Baltic Sea). Journal of Sea Research, 141, 47?60. https://doi.org/10.1016/j.seares.2018.05.007;Reviewer 1 ;it has details of mussels and macrophytes related to food web ecosystem services;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;use of algae as food and shelter by other species;Field;Observational;Gdansk Basin;54,697386;18,503261;;Present;2010;2011;2;None;None;;;;Supporting;Food for organisms;Food for organisms;use of algae as food for other organisms;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;<0.05;5;
126;Gunnarsson, K., & Berglund, A. (2012). The brown algaFucus radicanssuffers heavy grazing by the isopodIdotea baltica. Marine Biology Research, 8(1), 87?89. https://doi.org/10.1080/17451000.2011.594890;Reviewer 1 ;about use of macroalgae for macrofauna;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus radicans;grazing affecting algal distribution;Field;Experiment;Western Gotland Basin;58,814085;17,646615;;Present;2006;2006;1;None;None;grazing;grazing limits distribution;;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;2;P-Value;<0.05;40;
142;Haavisto, F., & Jormalainen, V. (2014). Seasonality elicits herbivores' escape from trophic control and favors induced resistance in a temperate macroalga. Ecology, 95(11), 3035-3045.;Reviewer 1 ;about fucus as an ecosystem food source;Include;Include;;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;variability of grazing affecting a foundation species;Field;Experiment;Aland Sea;60,086833;21,964333;;Present;2008;2009;2;None;None;grazing;grazing limits distribution;;Supporting;Food for organisms;Food for organisms;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.05;19 to 21;
288;Kraufvelin, P., Salovius, S., Christie, H., Moy, F. E., Karez, R., & Pedersen, M. F. (2006). Eutrophication-induced changes in benthic algae affect the behaviour and fitness of the marine amphipod Gammarus locusta. Aquatic Botany, 84(3), 199?209. https://doi.org/10.1016/j.aquabot.2005.08.008;Reviewer 1 ;about algae affecting amphipods;Include;Include;;Macroalgae;Macroalgae;Ulva;Ulva lactuca;nutrients affecting growth of these algae and their use as food;Field;Experiment;Skagerrak;59,616667;10,65;;Present;1997;2001;5;Nutrients;Nutrients;nutrients make algae more palatable to grazers;increased amounts of grazers;positive;Supporting;Food for organisms;Food for organisms;for grazers;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;5;P-Value;<0.05;3 to 4;
